marker_symbol,mi_attempt_id,id,gene_id,assembly,chromosome,strand,homology_arm_start,homology_arm_end,loxp_start,loxp_end,cassette_start,cassette_end,cassette,backbone,subtype_description,floxed_start_exon,floxed_end_exon,project_design_id,reporter,mutation_method_id,mutation_type_id,mutation_subtype_id,cassette_type,created_at,updated_at,intron,type,has_issue,issue_description,sequence,taqman_critical_del_assay_id,taqman_upstream_del_assay_id,taqman_downstream_del_assay_id,wildtype_oligos_sequence,allele_genbank_file_id,vector_genbank_file_id
Exosc9,8758,4802,6711,GRCm38,3,+,36553350,36563338,36555775,36555853,36555025,36555069,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000172559,ENSMUSE00000172559,45586,,1,1,2,Promotor Driven,2010-03-10 17:06:07 UTC,2014-07-17 13:12:23 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00734788_cn,,,14397,93585
Exph5,16309,14299,16180,GRCm38,9,+,53332390,53343272,53338206,53338213,53337352,53337437,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000279059,ENSMUSE00000279059,82748,,1,1,2,Promotor Driven,2010-03-10 17:42:15 UTC,2011-03-24 14:03:15 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,18137,96925
Ext2,1277,1626,937,GRCm38,2,-,93803491,93793464,93798001,93797929,93798842,93798786,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000403317,ENSMUSE00000403317,51123,,1,1,2,Promotor Driven,2010-03-10 16:53:54 UTC,2011-07-28 12:21:41 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,1487,82291
Ext2,1359,1626,937,GRCm38,2,-,93803491,93793464,93798001,93797929,93798842,93798786,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000403317,ENSMUSE00000403317,51123,,1,1,2,Promotor Driven,2010-03-10 16:53:54 UTC,2011-07-28 12:21:41 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,1487,82291
Extl1,2850,5199,1344,GRCm38,4,-,134370094,134360022,134364375,134364339,134365955,134365901,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000182574,ENSMUSE00000182576,44406,,1,1,2,Promotor Driven,2010-03-10 17:07:36 UTC,2011-07-28 12:51:33 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,14577,93756
Extl2,13068,5253,7111,GRCm38,3,+,116020275,116030519,116025591,116025639,116024841,116024949,L1L2_Pgk_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000174716,ENSMUSE00000174716,41706,,1,1,2,Promotor Driven,2010-03-10 17:07:48 UTC,2011-03-24 13:55:49 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,7540,87475
Eya1,11016,30312,4231,GRCm38,1,-,14237923,14227498,14231258,14231192,14232020,14231905,L1L2_6XOspnEnh_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000154290,ENSMUSE00000154290,188325,,1,1,2,Promotor Driven,2011-02-16 11:45:50 UTC,2011-03-24 14:17:41 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,28280,104044
Eya1,13630,30312,4231,GRCm38,1,-,14237923,14227498,14231258,14231192,14232020,14231905,L1L2_6XOspnEnh_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000154290,ENSMUSE00000154290,188325,,1,1,2,Promotor Driven,2011-02-16 11:45:50 UTC,2011-03-24 14:17:41 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,28280,104044
Eya3,17726,44940,4226,GRCm38,4,+,,,,,,,,,,,,,,1,2,,,2017-11-02 17:06:58 UTC,2017-11-02 17:06:58 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,115647,115648
Eya4,4473,3547,2345,GRCm38,10,-,23145634,23133871,23138024,23137933,23140559,23140490,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000644567,ENSMUSE00000644566,94693,,1,1,2,Promotor Driven,2010-03-10 17:01:28 UTC,2014-07-17 13:23:37 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00737159_cn,,,6995,87006
Eya4,6000,3547,2345,GRCm38,10,-,23145634,23133871,23138024,23137933,23140559,23140490,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000644567,ENSMUSE00000644566,94693,,1,1,2,Promotor Driven,2010-03-10 17:01:28 UTC,2014-07-17 13:23:37 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00737159_cn,,,6995,87006
Eya4,5997,3547,2345,GRCm38,10,-,23145634,23133871,23138024,23137933,23140559,23140490,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000644567,ENSMUSE00000644566,94693,,1,1,2,Promotor Driven,2010-03-10 17:01:28 UTC,2014-07-17 13:23:37 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00737159_cn,,,6995,87006
Ezh1,10782,2180,466,GRCm38,11,-,101219455,101210213,101213565,101213382,101214284,101214220,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000577074,ENSMUSE00000577074,87984,,1,1,2,Promotor Driven,2010-03-10 16:56:00 UTC,2011-03-24 13:53:20 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,2041,82737
Ezh1,696,2180,466,GRCm38,11,-,101219455,101210213,101213565,101213382,101214284,101214220,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000577074,ENSMUSE00000577074,87984,,1,1,2,Promotor Driven,2010-03-10 16:56:00 UTC,2011-03-24 13:53:20 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,2041,82737
Ezh2,365,1574,447,GRCm38,6,-,47561446,47551473,47555880,47555700,47556633,47556569,L1L2_gt0,L3L4_pZero_DTA_kan,,ENSMUSE00000296670,ENSMUSE00000296670,40378,,1,1,2,Promotorless,2010-03-10 16:53:43 UTC,2011-03-24 13:52:52 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,1435,113510
Ezh2,1566,1574,447,GRCm38,6,-,47561446,47551473,47555880,47555700,47556633,47556569,L1L2_gt0,L3L4_pZero_DTA_kan,,ENSMUSE00000296670,ENSMUSE00000296670,40378,,1,1,2,Promotorless,2010-03-10 16:53:43 UTC,2011-03-24 13:52:52 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,1435,113510
Ezh2,1299,1574,447,GRCm38,6,-,47561446,47551473,47555880,47555700,47556633,47556569,L1L2_gt0,L3L4_pZero_DTA_kan,,ENSMUSE00000296670,ENSMUSE00000296670,40378,,1,1,2,Promotorless,2010-03-10 16:53:43 UTC,2011-03-24 13:52:52 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,1435,113510
Ezr,400,19206,230,GRCm38,17,-,6752085,6742081,6747051,6747023,6747781,6747748,L1L2_gt2,L3L4_pZero_DTA_kan,,ENSMUSE00000449693,ENSMUSE00000449693,40493,,1,1,2,Promotorless,2010-03-10 18:00:58 UTC,2011-03-24 14:07:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15990,94976
Ezr,401,19206,230,GRCm38,17,-,6752085,6742081,6747051,6747023,6747781,6747748,L1L2_gt2,L3L4_pZero_DTA_kan,,ENSMUSE00000449693,ENSMUSE00000449693,40493,,1,1,2,Promotorless,2010-03-10 18:00:58 UTC,2011-03-24 14:07:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15990,94976
Ezr,1247,19206,230,GRCm38,17,-,6752085,6742081,6747051,6747023,6747781,6747748,L1L2_gt2,L3L4_pZero_DTA_kan,,ENSMUSE00000449693,ENSMUSE00000449693,40493,,1,1,2,Promotorless,2010-03-10 18:00:58 UTC,2011-03-24 14:07:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15990,94976
Ezr,1455,19206,230,GRCm38,17,-,6752085,6742081,6747051,6747023,6747781,6747748,L1L2_gt2,L3L4_pZero_DTA_kan,,ENSMUSE00000449693,ENSMUSE00000449693,40493,,1,1,2,Promotorless,2010-03-10 18:00:58 UTC,2011-03-24 14:07:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15990,94976
Ezr,1571,19206,230,GRCm38,17,-,6752085,6742081,6747051,6747023,6747781,6747748,L1L2_gt2,L3L4_pZero_DTA_kan,,ENSMUSE00000449693,ENSMUSE00000449693,40493,,1,1,2,Promotorless,2010-03-10 18:00:58 UTC,2011-03-24 14:07:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15990,94976
Ezr,1953,19206,230,GRCm38,17,-,6752085,6742081,6747051,6747023,6747781,6747748,L1L2_gt2,L3L4_pZero_DTA_kan,,ENSMUSE00000449693,ENSMUSE00000449693,40493,,1,1,2,Promotorless,2010-03-10 18:00:58 UTC,2011-03-24 14:07:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15990,94976
Ezr,1988,19206,230,GRCm38,17,-,6752085,6742081,6747051,6747023,6747781,6747748,L1L2_gt2,L3L4_pZero_DTA_kan,,ENSMUSE00000449693,ENSMUSE00000449693,40493,,1,1,2,Promotorless,2010-03-10 18:00:58 UTC,2011-03-24 14:07:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15990,94976
Ezr,2274,19208,230,GRCm38,17,-,6752085,6742081,6747051,6747023,6747781,6747748,L1L2_gt2,L3L4_pZero_DTA_kan,,ENSMUSE00000449693,ENSMUSE00000449693,40831,,1,1,2,Promotorless,2010-03-10 18:00:59 UTC,2011-03-24 14:07:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15996,94974
Ezr,2945,19206,230,GRCm38,17,-,6752085,6742081,6747051,6747023,6747781,6747748,L1L2_gt2,L3L4_pZero_DTA_kan,,ENSMUSE00000449693,ENSMUSE00000449693,40493,,1,1,2,Promotorless,2010-03-10 18:00:58 UTC,2011-03-24 14:07:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15990,94976
Ezr,3148,19206,230,GRCm38,17,-,6752085,6742081,6747051,6747023,6747781,6747748,L1L2_gt2,L3L4_pZero_DTA_kan,,ENSMUSE00000449693,ENSMUSE00000449693,40493,,1,1,2,Promotorless,2010-03-10 18:00:58 UTC,2011-03-24 14:07:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15990,94976
Ezr,3282,19208,230,GRCm38,17,-,6752085,6742081,6747051,6747023,6747781,6747748,L1L2_gt2,L3L4_pZero_DTA_kan,,ENSMUSE00000449693,ENSMUSE00000449693,40831,,1,1,2,Promotorless,2010-03-10 18:00:59 UTC,2011-03-24 14:07:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15996,94974
F10,6129,414,3000,GRCm38,8,+,13038970,13050162,13046378,13046438,13044692,13044704,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000464112,ENSMUSE00000209563,240272,,1,1,2,Promotor Driven,2010-03-10 16:49:26 UTC,2011-03-24 13:51:56 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,277,81280
F12,7430,5363,7222,GRCm38,13,-,55428522,55417104,55419913,55419845,55423217,55423125,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000118330,ENSMUSE00000118315,96515,,1,1,2,Promotor Driven,2010-03-10 17:08:11 UTC,2011-03-24 13:55:55 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,7587,87520
F12,8482,5363,7222,GRCm38,13,-,55428522,55417104,55419913,55419845,55423217,55423125,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000118330,ENSMUSE00000118315,96515,,1,1,2,Promotor Driven,2010-03-10 17:08:11 UTC,2011-03-24 13:55:55 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,7587,87520
F13a1,9778,37899,11217,GRCm38,13,-,37062483,37010676,,,37047483,37025676,ZEN-Ub1,,,ENSMUSE00000292915,ENSMUSE00000292907,,,1,2,2,Promotor Driven,2012-05-11 18:17:13 UTC,2012-05-11 18:17:13 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,39326,
F13a1,9740,37899,11217,GRCm38,13,-,37062483,37010676,,,37047483,37025676,ZEN-Ub1,,,ENSMUSE00000292915,ENSMUSE00000292907,,,1,2,2,Promotor Driven,2012-05-11 18:17:13 UTC,2012-05-11 18:17:13 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,39326,
F2,6440,29218,40711,GRCm38,2,-,91641624,91631395,91634695,91634673,91635602,91635511,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000167350,ENSMUSE00000167357,286728,,1,1,2,Promotor Driven,2011-01-26 09:55:48 UTC,2011-07-28 14:28:59 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,27733,103490
F2,9397,29218,40711,GRCm38,2,-,91641624,91631395,91634695,91634673,91635602,91635511,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000167350,ENSMUSE00000167357,286728,,1,1,2,Promotor Driven,2011-01-26 09:55:48 UTC,2011-07-28 14:28:59 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,27733,103490
F2rl1,6233,23736,2771,GRCm38,13,-,95520615,95508086,95511551,95511446,95514758,95514634,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000300519,ENSMUSE00000300519,87373,,1,1,2,Promotor Driven,2010-07-08 02:26:35 UTC,2013-08-22 19:15:03 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,22021,112433
F2rl1,10684,23736,2771,GRCm38,13,-,95520615,95508086,95511551,95511446,95514758,95514634,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000300519,ENSMUSE00000300519,87373,,1,1,2,Promotor Driven,2010-07-08 02:26:35 UTC,2013-08-22 19:15:03 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,22021,112433
F2rl1,5913,23736,2771,GRCm38,13,-,95520615,95508086,95511551,95511446,95514758,95514634,L1L2_Bact_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000300519,ENSMUSE00000300519,87373,,1,1,2,Promotor Driven,2010-07-08 02:26:35 UTC,2013-08-22 19:15:03 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,22021,112433
F2rl2,8114,2995,5164,GRCm38,13,+,95694385,95705931,95701673,95701674,95700107,95700163,L1L2_Bact_P,L3L4_pZero_DTA_kan,,ENSMUSE00000376327,ENSMUSE00000376327,208631,,1,1,2,Promotor Driven,2010-03-10 16:59:13 UTC,2011-03-24 13:54:00 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,6714,86793
F3,6701,17567,40712,GRCm38,3,+,121723246,121733769,121729794,121729884,121728890,121728936,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000176546,ENSMUSE00000176546,89546,,1,1,2,Promotor Driven,2010-03-10 17:54:35 UTC,2014-07-17 13:22:27 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00735072_cn,,,12440,91807
F5,9543,17568,40713,GRCm38,1,+,164175969,164185629,164181936,164182031,164181191,164181192,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000470426,ENSMUSE00000470426,187265,,1,1,2,Promotor Driven,2010-03-10 17:54:35 UTC,2014-07-17 12:48:07 UTC,,TargRep::TargetedAllele,FALSE,,,,,Mm00736767_cn,,18749,97471
F7,8699,1872,4217,GRCm38,8,+,13023732,13034432,13030946,13031048,13030227,13030253,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000209557,ENSMUSE00000209550,240581,,1,1,2,Promotor Driven,2010-03-10 16:54:46 UTC,2014-07-17 12:55:58 UTC,,TargRep::TargetedAllele,FALSE,,,,,Mm00737077_cn,,1733,82506
F730043M19Rik,14988,44795,16176,GRCm38,12,-,33153717,33142205,33146606,33146601,33147694,33147637,L1L2_lncRNA_xpA3_BactNeo,L3L4_pD223_DTA_T_spec,,,,1001850,,1,1,,Promotor Driven,2016-01-13 15:29:28 UTC,2016-01-13 15:29:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,45850,115511
F730043M19Rik,14976,44795,16176,GRCm38,12,-,33153717,33142205,33146606,33146601,33147694,33147637,L1L2_lncRNA_xpA3_BactNeo,L3L4_pD223_DTA_T_spec,,,,1001850,,1,1,,Promotor Driven,2016-01-13 15:29:28 UTC,2016-01-13 15:29:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,45850,115511
F730043M19Rik,14996,44795,16176,GRCm38,12,-,33153717,33142205,33146606,33146601,33147694,33147637,L1L2_lncRNA_xpA3_BactNeo,L3L4_pD223_DTA_T_spec,,,,1001850,,1,1,,Promotor Driven,2016-01-13 15:29:28 UTC,2016-01-13 15:29:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,45850,115511
Faap100,7116,8541,10297,GRCm38,11,-,120383075,120371322,120376556,120376439,120378124,120378014,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000360325,ENSMUSE00000360325,44170,,1,1,2,Promotor Driven,2010-03-10 17:20:03 UTC,2014-07-17 13:09:34 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736316_cn,,,4993,85242
Faap20,3855,6590,2380,GRCm38,4,+,155244223,155254976,,,155250466,155251206,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000630002,ENSMUSE00000630000,236999,,1,2,,Promotor Driven,2010-03-10 17:12:40 UTC,2012-10-29 17:42:55 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,5845,114804
Fabp1,13584,42800,1135,GRCm38,6,+,71196975,71207045,71201969,71202016,71201160,71201197,pL1L2_GT1_LF2A_nEGFPO_T2A_CreERT_puro,L3L4_pD223_DTA_T_spec,,ENSMUSE00000457959,ENSMUSE00000457959,43151,,1,4,,Promotorless,2013-06-20 02:15:11 UTC,2014-08-30 00:45:28 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,44214,112322
Fabp1,1513,17960,1135,GRCm38,6,+,71196975,71207045,71201969,71202016,71201160,71201197,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000457959,ENSMUSE00000457959,43151,,1,1,2,Promotor Driven,2010-03-10 17:56:09 UTC,2011-03-24 14:06:15 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,18938,97633
Fabp12,1473,9898,460,GRCm38,3,-,10254110,10243643,10249825,10249813,10250684,10250625,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000170347,ENSMUSE00000170347,45826,,1,1,2,Promotor Driven,2010-03-10 17:25:19 UTC,2011-03-24 13:59:33 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,17027,95927
Fabp2,8771,17959,41064,GRCm38,3,+,122890715,122900972,122897121,122897175,122896256,122896370,L1L2_Bact_P,L3L4_pZero_DTA_kan,,ENSMUSE00000133274,ENSMUSE00000133274,192865,,1,1,2,Promotor Driven,2010-03-10 17:56:09 UTC,2011-03-24 14:06:15 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,12614,91949
Fabp2,11236,17959,41064,GRCm38,3,+,122890715,122900972,122897121,122897175,122896256,122896370,L1L2_Bact_P,L3L4_pZero_DTA_kan,,ENSMUSE00000133274,ENSMUSE00000133274,192865,,1,1,2,Promotor Driven,2010-03-10 17:56:09 UTC,2011-03-24 14:06:15 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,12614,91949
Fabp3,109,17957,233,GRCm38,4,+,130307607,130317832,130312647,130312683,130311844,130311940,L1L2_gt1,L3L4_pZero_DTA_kan,,ENSMUSE00000182009,ENSMUSE00000182009,39166,,1,1,2,Promotorless,2010-03-10 17:56:08 UTC,2011-03-24 14:06:15 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,18936,97631
Fabp4,7541,43414,40554,GRCm38,3,-,10212560,10200969,10205071,10204953,10206575,10206535,pL1L2_GT1_LF2A_nEGFPO_T2A_CreERT_puro_dre,L3L4_pD223_DTA_T_spec,,ENSMUSE00000170335,ENSMUSE00000170341,93945,,1,4,,Promotorless,2013-10-25 14:33:19 UTC,2014-07-17 13:23:20 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00737143_cn,,,44713,
Fabp5,187,160,690,GRCm38,3,+,10010440,10020919,10015729,10015830,10014446,10014561,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000170359,ENSMUSE00000170358,47942,,1,1,2,Promotor Driven,2010-03-10 16:48:33 UTC,2011-07-28 06:38:02 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,23,113412
Fabp5,2406,160,690,GRCm38,3,+,10010440,10020919,10015729,10015830,10014446,10014561,L1L2_Bact_P,L3L4_pD223_DTA_spec,,ENSMUSE00000170359,ENSMUSE00000170358,47942,,1,1,2,Promotor Driven,2010-03-10 16:48:33 UTC,2011-07-28 06:38:02 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,23,113412
Fabp7,6847,217,2776,GRCm38,10,+,57779558,57790213,,,57785205,57785206,L1L2_Bact_P,L3L4_pZero_DTA_kan,,ENSMUSE00000098749,ENSMUSE00000576231,209398,,1,3,,Promotor Driven,2010-03-10 16:48:45 UTC,2014-07-17 12:50:41 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736839_cn,,,80,
Fabp9,10027,21401,4682,GRCm38,3,-,10212161,10178734,,,10197161,10193734,ZEN-UB1.GB,,,ENSMUSE00000438862,ENSMUSE00000438869,,,1,2,2,Promotor Driven,2010-05-18 09:46:22 UTC,2014-01-09 21:45:56 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,36090,114736
Fabp9,10836,21401,4682,GRCm38,3,-,10212161,10178734,,,10197161,10193734,ZEN-UB1.GB,,,ENSMUSE00000438862,ENSMUSE00000438869,,,1,2,2,Promotor Driven,2010-05-18 09:46:22 UTC,2014-01-09 21:45:56 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,36090,114736
Fadd,3142,1871,1808,GRCm38,7,-,144586546,144576360,,,144581324,144581242,L1L2_Pgk_P,L3L4_pD223_DTA_spec,,ENSMUSE00000447863,ENSMUSE00000447863,115510,,1,3,,Promotor Driven,2010-03-10 16:54:46 UTC,2014-07-17 12:44:48 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00733736_cn,,,1732,
Fadd,3506,1870,1808,GRCm38,7,-,144586546,144576360,144580373,144580372,144581324,144581242,L1L2_Pgk_P,L3L4_pD223_DTA_spec,,ENSMUSE00000447863,ENSMUSE00000447863,115510,,1,1,2,Promotor Driven,2010-03-10 16:54:46 UTC,2014-07-17 12:44:48 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00733736_cn,,,1731,82504
Fadd,3766,1871,1808,GRCm38,7,-,144586546,144576360,,,144581324,144581242,L1L2_Pgk_P,L3L4_pD223_DTA_spec,,ENSMUSE00000447863,ENSMUSE00000447863,115510,,1,3,,Promotor Driven,2010-03-10 16:54:46 UTC,2014-07-17 12:44:48 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00733736_cn,,,1732,
Fads1,7109,37828,1204,GRCm38,19,+,10168055,10209946,,,10183055,10194946,ZEN-Ub1,,,ENSMUSE00000386825,ENSMUSE00000377179,,,1,2,2,Promotor Driven,2012-05-11 18:14:20 UTC,2012-05-11 18:14:20 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,39255,
Fads1,2217,10157,1204,GRCm38,19,+,10178817,10191013,10187582,10187649,10184480,10184559,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000144685,ENSMUSE00000144691,115576,,1,1,1,Promotor Driven,2010-03-10 17:26:16 UTC,2011-03-24 13:59:44 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,17139,96031
Fads1,2362,10157,1204,GRCm38,19,+,10178817,10191013,10187582,10187649,10184480,10184559,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000144685,ENSMUSE00000144691,115576,,1,1,1,Promotor Driven,2010-03-10 17:26:16 UTC,2011-03-24 13:59:44 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,17139,96031
Fads1,6670,37828,1204,GRCm38,19,+,10168055,10209946,,,10183055,10194946,ZEN-Ub1,,,ENSMUSE00000386825,ENSMUSE00000377179,,,1,2,2,Promotor Driven,2012-05-11 18:14:20 UTC,2012-05-11 18:14:20 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,39255,
Fads2,12153,11388,13455,GRCm38,19,-,10097904,10084637,10088511,10088481,10092337,10092233,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000470250,ENSMUSE00000144252,108706,,1,1,2,Promotor Driven,2010-03-10 17:31:01 UTC,2011-03-24 14:00:47 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,17295,96168
Fads3,1833,11175,834,GRCm38,19,+,10045816,10058764,10054797,10054804,10051841,10051843,L1L2_Pgk_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000144242,ENSMUSE00000463024,95251,,1,1,2,Promotor Driven,2010-03-10 17:30:13 UTC,2014-07-17 13:24:05 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736523_cn,,,9785,89400
Fads3,4409,11176,834,GRCm38,19,+,10045816,10058764,,,10051841,10051843,L1L2_Pgk_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000144242,ENSMUSE00000227708,95251,,1,3,,Promotor Driven,2010-03-10 17:30:13 UTC,2014-07-17 13:24:05 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736523_cn,,,9786,
Fads3,4566,11176,834,GRCm38,19,+,10045816,10058764,,,10051841,10051843,L1L2_Pgk_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000144242,ENSMUSE00000227708,95251,,1,3,,Promotor Driven,2010-03-10 17:30:13 UTC,2014-07-17 13:24:05 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736523_cn,,,9786,
Fads3,12129,11175,834,GRCm38,19,+,10045816,10058764,10054797,10054804,10051841,10051843,L1L2_Pgk_P,L3L4_pD223_DTA_T_spec,,ENSMUSE00000144242,ENSMUSE00000463024,95251,,1,1,2,Promotor Driven,2010-03-10 17:30:13 UTC,2014-07-17 13:24:05 UTC,,TargRep::TargetedAllele,FALSE,,,,Mm00736523_cn,,,9785,89400
Fads6,856,16374,1025,GRCm38,11,-,115301041,115292894,115296321,115296269,115296963,115296920,L1L2_Bact_P,L4L3_pD223_DTA_spec,,ENSMUSE00000368652,ENSMUSE00000368652,147,,1,1,2,Promotor Driven,2010-03-10 17:50:10 UTC,2011-03-24 14:04:55 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,18591,97352
Faf1,7008,19716,4261,GRCm38,4,+,109715418,109726249,109720985,109721090,109720322,109720358,L1L2_Bact_P,R3R4_pBR_DTA+_Bsd_amp,,ENSMUSE00000180035,ENSMUSE00000180035,36583,,1,1,2,Promotor Driven,2010-03-30 15:24:09 UTC,2011-03-24 14:07:50 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,13102,92422
Fahd2a,452,42167,998,GRCm38,1,+,108826320,108852963,,,108826320,108852963,FlpROSABetaGeo,,,ENSMUSE00000479968,ENSMUSE00000118951,,,3,7,,Promotorless,2013-03-01 14:12:32 UTC,2013-03-01 14:16:56 UTC,,TargRep::GeneTrap,FALSE,,,,,,,,
Fahd2a,453,6954,92,GRCm38,2,-,127445495,127435722,127440170,127440159,127441088,127441012,L1L2_gt2,L3L4_pZero_DTA_kan,,ENSMUSE00000346120,ENSMUSE00000346120,35146,,1,1,2,Promotorless,2010-03-10 17:13:59 UTC,2011-07-28 13:04:15 UTC,,TargRep::TargetedAllele,FALSE,,,,,,,15148,113964
